publication,author,written_in,set_in
1984,George Orwell,1949,1984
Apollo 13,Ron Howard,1995,1970
风波,鲁迅,1920,1917
Interstellar,Christopher Nolan,2014,2067
新中国未来记,梁启超,1902,1962
The War of the Worlds,H. G. Wells,1898,1900
水浒传,施耐庵,1360,1120
Fahrenheit 451,Ray Bradbury,1953,2049
Vingt mille lieues sous les mers／海底两万里,Jules Verne,1870,1866
Memoirs of the Twentieth Century,Samuel Madden,1733,1997
"L'An 2440, rêve s'il en fut jamais",Louis-Sébastien Mercier,1771,2440
The Man in the Moone,Francis Godwin,1628,1601
Voyage au centre de la Terre／地心游记,Jules Verne,1864,1863
The Time Machine,H. G. Wells,1895,1895
"Looking Backward, 2000–1887",Edward Bellamy,1888,2000
Rendezvous with Rama,Arthur C. Clarke,1973,2131
